wl,n
0.3100,1.6628349734282
0.3319,1.6547580763034
0.3538,1.648363076293
0.3757,1.643194562782
0.3976,1.6389453667092
0.4195,1.6354008797969
0.4414,1.6324067972327
0.4633,1.6298494854374
0.4852,1.6276435433168
0.5071,1.6257236526763
0.5290,1.6240390849078
0.5509,1.6225499065047
0.5728,1.6212243015985
0.5947,1.6200366469146
0.6166,1.6189661044437
0.6385,1.6179955771275
0.6604,1.6171109234264
0.6823,1.6163003593393
0.7042,1.6155539980471
0.7261,1.6148634918726
0.7480,1.6142217511954
0.7699,1.6136227218597
0.7918,1.6130612074834
0.8137,1.6125327265478
0.8356,1.6120333966573
0.8575,1.6115598401914
0.8794,1.6111091069246
0.9013,1.6106786101978
0.9232,1.610266073983
0.9451,1.6098694887591
0.9670,1.6094870745531
0.9889,1.6091172498432
1.011,1.6087553775133
1.033,1.6084051678364
1.055,1.6080638160434
1.077,1.6077302959525
1.098,1.6074183919489
1.120,1.6070975946055
1.142,1.6067821497763
1.164,1.6064713705714
1.186,1.6061646328727
1.208,1.6058613683714
1.230,1.6055610584892
1.252,1.6052632290543
1.274,1.6049674456289
1.296,1.6046733093971
1.317,1.6043937422687
1.339,1.6041017928724
1.361,1.6038104873903
1.383,1.603519536148
1.405,1.6032286707486
1.427,1.6029376420616
1.449,1.6026462184267
1.471,1.6023541840471
1.493,1.6020613375486
1.515,1.6017674906866
1.536,1.6014859052433
1.558,1.6011896041788
1.580,1.6008918125807
1.602,1.6005923837794
1.624,1.6002911794814
1.646,1.599988069065
1.668,1.5996829289403
1.690,1.5993756419675
1.712,1.5990660969273
1.734,1.5987541880386
1.755,1.5984541590667
1.777,1.5981373431498
1.799,1.59781787854
1.821,1.5974956769916
1.843,1.5971706538502
1.865,1.5968427277669
1.887,1.5965118204355
1.909,1.59617785635
1.931,1.5958407625817
1.953,1.5955004685729
1.974,1.5951725942847
1.996,1.5948258496714
2.018,1.5944757084312
2.040,1.5941221076481
2.062,1.5937649859611
2.084,1.5934042834333
2.106,1.5930399414294
2.128,1.5926719025023
2.150,1.5923001102866
2.172,1.5919245093999
2.193,1.5915623782853
2.215,1.5911791765745
2.237,1.5907920074356
2.259,1.5904008185182
2.281,1.5900055580482
2.303,1.5896061747604
2.325,1.5892026178339
2.347,1.5887948368325
2.369,1.588382781647
2.391,1.5879664024415
2.412,1.587564870313
2.434,1.5871398965188
2.456,1.5867104525767
2.478,1.5862764892538
2.500,1.5858379573606

wl,k
0.310,3.8602E-06
0.320,2.2483E-06
0.334,9.7416E-07
0.350,3.9737E-07
0.365,1.7523E-07
0.370,1.3725E-07
0.380,8.7780E-08
0.390,5.5860E-08
0.400,3.8782E-08
0.405,3.3961E-08
0.420,2.8374E-08
0.436,2.6623E-08
0.460,2.3617E-08
0.500,1.4389E-08
0.546,1.0459E-08
0.580,1.1111E-08
0.620,1.3863E-08
0.660,1.2643E-08
0.700,8.9305E-09
1.060,1.6913E-08
1.530,1.3330E-07
1.970,8.0161E-07
2.325,4.5602E-06
2.500,1.0720E-05
